variable,etiqueta,codigo_eam,categoria_ocupacional,unidad,periodicidad,poblacion,definicion,anios_disponibles,pct_faltantes,pct_ceros,fuente,formula,notas
obreros_propietarios,Suma de C4R1C1+C4R1C2,C4R1C1+C4R1C2,obreros,personas,anual,propietarios,"Suma de: C4R1C1, C4R1C2",2008-2024,0,99.42,suma de originales,C4R1C1 + C4R1C2,
obreros_temporal_directo,Suma de C4R3C1+C4R3C2,C4R3C1+C4R3C2,obreros,personas,anual,temporales,"Suma de: C4R3C1, C4R3C2",2008-2024,0,61.4,suma de originales,C4R3C1 + C4R3C2,
obreros_temporal_agencias,Suma de C4R4C1+C4R4C2,C4R4C1+C4R4C2,obreros,personas,anual,temporales,"Suma de: C4R4C1, C4R4C2",2008-2024,0,72.29,suma de originales,C4R4C1 + C4R4C2,
obreros_aprendices,Suma de C4R6OH+C4R6OM,C4R6OH+C4R6OM,obreros,personas,anual,aprendices,"Suma de: C4R6OH, C4R6OM",2008-2024,0,80.4,suma de originales,C4R6OH + C4R6OM,
administrativos_permanentes,Suma de C4R2C3+C4R2C4,C4R2C3+C4R2C4,administrativos,personas,anual,permanentes,"Suma de: C4R2C3, C4R2C4",2008-2024,0,14.83,suma de originales,C4R2C3 + C4R2C4,
administrativos_total_ocupado,Suma de C4R5C3+C4R5C4,C4R5C3+C4R5C4,administrativos,personas,anual,total_ocupado,"Suma de: C4R5C3, C4R5C4",2008-2024,0,3.73,suma de originales,C4R5C3 + C4R5C4,
administrativos_propietarios,Suma de C4R1C3+C4R1C4,C4R1C3+C4R1C4,administrativos,personas,anual,propietarios,"Suma de: C4R1C3, C4R1C4",2008-2024,0,86.11,suma de originales,C4R1C3 + C4R1C4,
administrativos_temporal_directo,Suma de C4R3C3+C4R3C4,C4R3C3+C4R3C4,administrativos,personas,anual,temporales,"Suma de: C4R3C3, C4R3C4",2008-2024,0,70.39,suma de originales,C4R3C3 + C4R3C4,
administrativos_temporal_agencias,Suma de C4R4C3+C4R4C4,C4R4C3+C4R4C4,administrativos,personas,anual,temporales,"Suma de: C4R4C3, C4R4C4",2008-2024,0,79.59,suma de originales,C4R4C3 + C4R4C4,
administrativos_aprendices,Suma de C4R6DH+C4R6DM,C4R6DH+C4R6DM,administrativos,personas,anual,aprendices,"Suma de: C4R6DH, C4R6DM",2008-2024,0,69.73,suma de originales,C4R6DH + C4R6DM,
profesional_tecnico_permanentes,Suma de C4R1C3N+C4R1C4N+C4R2C3E+C4R2C4E,C4R1C3N+C4R1C4N+C4R2C3E+C4R2C4E,profesional_tecnico,personas,anual,permanentes,"Suma de: C4R1C3N, C4R1C4N, C4R2C3E, C4R2C4E",2008-2024,0,49.59,suma de originales,C4R1C3N + C4R1C4N + C4R2C3E + C4R2C4E,
profesional_tecnico_total_ocupado,Suma de C4R1C9N+C4R1C10N+C4R2C9E+C4R2C10E,C4R1C9N+C4R1C10N+C4R2C9E+C4R2C10E,profesional_tecnico,personas,anual,total_ocupado,"Suma de: C4R1C9N, C4R1C10N, C4R2C9E, C4R2C10E",2008-2024,0,38.99,suma de originales,C4R1C9N + C4R1C10N + C4R2C9E + C4R2C10E,
profesional_tecnico_propietarios,Suma de C4R1C1N+C4R1C2N+C4R2C1E+C4R2C2E,C4R1C1N+C4R1C2N+C4R2C1E+C4R2C2E,profesional_tecnico,personas,anual,propietarios,"Suma de: C4R1C1N, C4R1C2N, C4R2C1E, C4R2C2E",2008-2024,0,94.89,suma de originales,C4R1C1N + C4R1C2N + C4R2C1E + C4R2C2E,
profesional_tecnico_temporal_directo,Suma de C4R1C5N+C4R1C6N+C4R2C5E+C4R2C6E,C4R1C5N+C4R1C6N+C4R2C5E+C4R2C6E,profesional_tecnico,personas,anual,temporales,"Suma de: C4R1C5N, C4R1C6N, C4R2C5E, C4R2C6E",2008-2024,0,82.83,suma de originales,C4R1C5N + C4R1C6N + C4R2C5E + C4R2C6E,
profesional_tecnico_temporal_agencias,Suma de C4R1C7N+C4R1C8N+C4R2C7E+C4R2C8E,C4R1C7N+C4R1C8N+C4R2C7E+C4R2C8E,profesional_tecnico,personas,anual,temporales,"Suma de: C4R1C7N, C4R1C8N, C4R2C7E, C4R2C8E",2008-2024,0,88.85,suma de originales,C4R1C7N + C4R1C8N + C4R2C7E + C4R2C8E,
profesional_tecnico_aprendices,Suma de C4R6HE+C4R6HN+C4R6ME+C4R6MN,C4R6HE+C4R6HN+C4R6ME+C4R6MN,profesional_tecnico,personas,anual,aprendices,"Suma de: C4R6HE, C4R6HN, C4R6ME, C4R6MN",2008-2024,0,78.52,suma de originales,C4R6HE + C4R6HN + C4R6ME + C4R6MN,
mh_c4r2c1,Personal permanente (contrato a término indefinido) Mujer - Producción - Obrero,C4R2C1,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C1, pass-through, sin combinar con su pareja M/H.",2008-2024,0,45.51,original,C4R2C1,
mh_c4r2c2,Personal permanente (contrato a término indefinido) Hombre - Producción - Obrero,C4R2C2,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C2, pass-through, sin combinar con su pareja M/H.",2008-2024,0,23.55,original,C4R2C2,
mh_c4r5c1,Total Personal Ocupado  - Mujer -  Producción - Obrero,C4R5C1,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R5C1, pass-through, sin combinar con su pareja M/H.",2008-2024,0,29,original,C4R5C1,
mh_c4r5c2,Total Personal Ocupado  - Hombre -  Producción - Obrero,C4R5C2,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R5C2, pass-through, sin combinar con su pareja M/H.",2008-2024,0,5.99,original,C4R5C2,
mh_c4r1c1,"Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -",C4R1C1,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C1, pass-through, sin combinar con su pareja M/H.",2008-2024,0,99.8,original,C4R1C1,
mh_c4r1c2,"Propietarios, socios y familiares (sin remuneración fija) Hombre - Producción -",C4R1C2,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C2, pass-through, sin combinar con su pareja M/H.",2008-2024,0,99.54,original,C4R1C2,
mh_c4r3c1,Temporal contratado directamente por el establecimiento - Mujer  - Producción-,C4R3C1,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R3C1, pass-through, sin combinar con su pareja M/H.",2008-2024,0,74.31,original,C4R3C1,
mh_c4r3c2,Temporal contratado directamente por el establecimiento - Hombre  - Producción-,C4R3C2,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R3C2, pass-through, sin combinar con su pareja M/H.",2008-2024,0,63.1,original,C4R3C2,
mh_c4r4c1,Temporal contratado  a través de empresas especializadas - Mujer  - Producción-,C4R4C1,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R4C1, pass-through, sin combinar con su pareja M/H.",2008-2024,0,82.1,original,C4R4C1,
mh_c4r4c2,Temporal contratado  a través de empresas especializadas - Hombre  - Producción,C4R4C2,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R4C2, pass-through, sin combinar con su pareja M/H.",2008-2024,0,73.28,original,C4R4C2,
mh_c4r6oh,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Obrero,C4R6OH,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R6OH, pass-through, sin combinar con su pareja M/H.",2008-2024,0,84.42,original,C4R6OH,
mh_c4r6om,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Obrero,C4R6OM,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R6OM, pass-through, sin combinar con su pareja M/H.",2008-2024,0,90.82,original,C4R6OM,
mh_c4r2c3,Personal permanente (contrato a término indefinido) Mujer - Producción - Adminis,C4R2C3,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C3, pass-through, sin combinar con su pareja M/H.",2008-2024,0,19.56,original,C4R2C3,
mh_c4r2c4,Personal permanente (contrato a término indefinido) Hombre - Producción - Admini,C4R2C4,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C4, pass-through, sin combinar con su pareja M/H.",2008-2024,0,26.83,original,C4R2C4,
mh_c4r5c3,Total Personal Ocupado  - Mujer -  Producción - Administrativo,C4R5C3,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R5C3, pass-through, sin combinar con su pareja M/H.",2008-2024,0,7.66,original,C4R5C3,
mh_c4r5c4,Total Personal Ocupado  - Hombre -  Producción - Administrativo,C4R5C4,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R5C4, pass-through, sin combinar con su pareja M/H.",2008-2024,0,14.46,original,C4R5C4,
mh_c4r1c3,"Propietarios, socios y familiares (sin remuneración fija) Mujer - Administrativ",C4R1C3,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C3, pass-through, sin combinar con su pareja M/H.",2008-2024,0,92.31,original,C4R1C3,
mh_c4r1c4,"Propietarios, socios y familiares (sin remuneración fija) Hombre - Administrati",C4R1C4,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C4, pass-through, sin combinar con su pareja M/H.",2008-2024,0,89.06,original,C4R1C4,
mh_c4r3c3,Temporal contratado directamente por el establecimiento - Mujer  - Administrati,C4R3C3,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R3C3, pass-through, sin combinar con su pareja M/H.",2008-2024,0,72.6,original,C4R3C3,
mh_c4r3c4,Temporal contratado directamente por el establecimiento - Hombre  - Administrat,C4R3C4,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R3C4, pass-through, sin combinar con su pareja M/H.",2008-2024,0,77.14,original,C4R3C4,
mh_c4r4c3,Temporal contratado  a través de empresas especializadas - Mujer  - Administrat,C4R4C3,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R4C3, pass-through, sin combinar con su pareja M/H.",2008-2024,0,81.84,original,C4R4C3,
mh_c4r4c4,Temporal contratado  a través de empresas especializadas - Hombre  - Administra,C4R4C4,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R4C4, pass-through, sin combinar con su pareja M/H.",2008-2024,0,84.38,original,C4R4C4,
mh_c4r6dh,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Administrativo,C4R6DH,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R6DH, pass-through, sin combinar con su pareja M/H.",2008-2024,0,83.03,original,C4R6DH,
mh_c4r6dm,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Administrativo,C4R6DM,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R6DM, pass-through, sin combinar con su pareja M/H.",2008-2024,0,74,original,C4R6DM,
mh_c4r1c3n,Personal permanente (contrato a término indefinido) Mujer - Producción - Profesi,C4R1C3N,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C3N, pass-through, sin combinar con su pareja M/H.",2008-2024,0,65.1,original,C4R1C3N,
mh_c4r1c4n,Personal permanente (contrato a término indefinido) Hombre - Producción - Profes,C4R1C4N,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C4N, pass-through, sin combinar con su pareja M/H.",2008-2024,0,54.72,original,C4R1C4N,
mh_c4r2c3e,Personal permanente (contrato a término indefinido) Mujer - Producción - Profesi,C4R2C3E,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C3E, pass-through, sin combinar con su pareja M/H.",2008-2024,0,99.5,original,C4R2C3E,
mh_c4r2c4e,Personal permanente (contrato a término indefinido) Hombre - Producción - Profes,C4R2C4E,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C4E, pass-through, sin combinar con su pareja M/H.",2008-2024,0,98.35,original,C4R2C4E,
mh_c4r1c9n,Total Personal Ocupado  - Mujer -  Producción - Producción - Profesional Tecnólo,C4R1C9N,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C9N, pass-through, sin combinar con su pareja M/H.",2008-2024,0,55.71,original,C4R1C9N,
mh_c4r1c10n,Total Personal Ocupado  - Hombre -  Producción - Producción - Profesional Tecnól,C4R1C10N,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C10N, pass-through, sin combinar con su pareja M/H.",2008-2024,0,45.19,original,C4R1C10N,
mh_c4r2c9e,Total Personal Ocupado  - Mujer -  Producción - Producción - Profesional Tecnólo,C4R2C9E,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C9E, pass-through, sin combinar con su pareja M/H.",2008-2024,0,99.21,original,C4R2C9E,
mh_c4r2c10e,Total Personal Ocupado  - Hombre -  Producción - Producción - Profesional Tecnól,C4R2C10E,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C10E, pass-through, sin combinar con su pareja M/H.",2008-2024,0,97.7,original,C4R2C10E,
mh_c4r1c1n,"Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -",C4R1C1N,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C1N, pass-through, sin combinar con su pareja M/H.",2008-2024,0,97.71,original,C4R1C1N,
mh_c4r1c2n,"Propietarios, socios y familiares (sin remuneración fija) Hombre - Producción -",C4R1C2N,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C2N, pass-through, sin combinar con su pareja M/H.",2008-2024,0,96.02,original,C4R1C2N,
mh_c4r2c1e,"Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -",C4R2C1E,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C1E, pass-through, sin combinar con su pareja M/H.",2008-2024,0,99.92,original,C4R2C1E,
mh_c4r2c2e,"Propietarios, socios y familiares (sin remuneración fija) Hombre - Producción -",C4R2C2E,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C2E, pass-through, sin combinar con su pareja M/H.",2008-2024,0,99.84,original,C4R2C2E,
mh_c4r1c5n,Temporal contratado directamente por el establecimiento - Mujer  - Producción-,C4R1C5N,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C5N, pass-through, sin combinar con su pareja M/H.",2008-2024,0,88.42,original,C4R1C5N,
mh_c4r1c6n,Temporal contratado directamente por el establecimiento - Hombre  - Producción-,C4R1C6N,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C6N, pass-through, sin combinar con su pareja M/H.",2008-2024,0,84.69,original,C4R1C6N,
mh_c4r2c5e,Temporal contratado directamente por el establecimiento - Mujer  - Producción-,C4R2C5E,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C5E, pass-through, sin combinar con su pareja M/H.",2008-2024,0,99.87,original,C4R2C5E,
mh_c4r2c6e,Temporal contratado directamente por el establecimiento - Hombre  - Producción-,C4R2C6E,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C6E, pass-through, sin combinar con su pareja M/H.",2008-2024,0,99.68,original,C4R2C6E,
mh_c4r1c7n,Temporal contratado  a través de empresas especializadas - Mujer  - Producción-,C4R1C7N,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C7N, pass-through, sin combinar con su pareja M/H.",2008-2024,0,92.79,original,C4R1C7N,
mh_c4r1c8n,Temporal contratado  a través de empresas especializadas - Hombre  - Producción,C4R1C8N,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R1C8N, pass-through, sin combinar con su pareja M/H.",2008-2024,0,89.9,original,C4R1C8N,
mh_c4r2c7e,Temporal contratado  a través de empresas especializadas - Mujer  - Producción-,C4R2C7E,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C7E, pass-through, sin combinar con su pareja M/H.",2008-2024,0,99.94,original,C4R2C7E,
mh_c4r2c8e,Temporal contratado  a través de empresas especializadas - Hombre  - Producción,C4R2C8E,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R2C8E, pass-through, sin combinar con su pareja M/H.",2008-2024,0,99.81,original,C4R2C8E,
mh_c4r6he,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Profesional Tec,C4R6HE,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R6HE, pass-through, sin combinar con su pareja M/H.",2008-2024,0,99.9,original,C4R6HE,
mh_c4r6hn,Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Profesional Tec,C4R6HN,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R6HN, pass-through, sin combinar con su pareja M/H.",2008-2024,0,82.86,original,C4R6HN,
mh_c4r6me,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Profesional Tecn,C4R6ME,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R6ME, pass-through, sin combinar con su pareja M/H.",2008-2024,0,99.94,original,C4R6ME,
mh_c4r6mn,Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Profesional Tecn,C4R6MN,NA,personas,anual,desagregado_mh_ver_grupo,"Columna cruda EAM C4R6MN, pass-through, sin combinar con su pareja M/H.",2008-2024,0,86.58,original,C4R6MN,
control_personal_total_pertotal,Personal Permanente + Propietarios + Personal Temporal Directo + Temporal Empres,PERTOTAL,NA,personas,anual,ver_notas,"Total de control ya presente en la macrobase, usado para contrastar contra las sumas de grupo (Paso 3).",2008-2024,0,0.06,original,PERTOTAL,
control_personal_permanente_persocu,Personal Permanente,PERSOCU,NA,personas,anual,ver_notas,"Total de control ya presente en la macrobase, usado para contrastar contra las sumas de grupo (Paso 3).",2008-2024,0,10.11,original,PERSOCU,
control_permanente_propietarios_persoesc,Personal Permanente + Propietarios,PERSOESC,NA,personas,anual,ver_notas,"Total de control ya presente en la macrobase, usado para contrastar contra las sumas de grupo (Paso 3).",2008-2024,0,6.65,original,PERSOESC,
control_temporal_directo_pertem3,Personal Temporal Directo,PERTEM3,NA,personas,anual,ver_notas,"Total de control ya presente en la macrobase, usado para contrastar contra las sumas de grupo (Paso 3).",2008-2024,0,63.28,original,PERTEM3,
control_permanente_y_temporal_pperytem,Personal Permanente + Temporal Directo,PPERYTEM,NA,personas,anual,ver_notas,"Total de control ya presente en la macrobase, usado para contrastar contra las sumas de grupo (Paso 3).",2008-2024,0,1.33,original,PPERYTEM,
control_temporal_agencias_mujer_c4r4c9t,Total Personal Ocupado Mujer,C4R4C9T,NA,personas,anual,ver_notas,"Total de control ya presente en la macrobase, usado para contrastar contra las sumas de grupo (Paso 3).",2008-2024,0,2.25,original,C4R4C9T,
control_temporal_agencias_hombre_c4r4c10t,Total Personal Ocupado Hombre,C4R4C10T,NA,personas,anual,ver_notas,"Total de control ya presente en la macrobase, usado para contrastar contra las sumas de grupo (Paso 3).",2008-2024,0,1.01,original,C4R4C10T,
salario_integral_obreros_c3r1c1,Salario Integral para el personal permanente -  Producción - Obreros,C3R1C1,obreros,"miles de pesos (supuesto, ver PASO 0.5)",anual,"permanentes (>=10 SMLV, solo 2008-2019)","Costo laboral, concepto: salario_integral, categoria: obreros.",2008-2019,24.11,99.23,original,C3R1C1,Solo disponible 2008-2019 (PASO 0.4). Salario integral es >=10 SMLV por ley.
salario_integral_profesional_tecnico_c3r1pt,Salario Integral para el personal permanente -  Producción - Profesional Tecnól,C3R1PT,profesional_tecnico,"miles de pesos (supuesto, ver PASO 0.5)",anual,"permanentes (>=10 SMLV, solo 2008-2019)","Costo laboral, concepto: salario_integral, categoria: profesional_tecnico.",2008-2019,24.11,89.78,original,C3R1PT,Solo disponible 2008-2019 (PASO 0.4). Salario integral es >=10 SMLV por ley.
salario_integral_administrativos_c3r1c2,Salario Integral para el personal permanente -  Administrativos,C3R1C2,administrativos,"miles de pesos (supuesto, ver PASO 0.5)",anual,"permanentes (>=10 SMLV, solo 2008-2019)","Costo laboral, concepto: salario_integral, categoria: administrativos.",2008-2019,24.11,80.6,original,C3R1C2,Solo disponible 2008-2019 (PASO 0.4). Salario integral es >=10 SMLV por ley.
salario_integral_total_c3r1c3,Total Salario Integral para el personal permanente,C3R1C3,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,"permanentes (>=10 SMLV, solo 2008-2019)","Costo laboral, concepto: salario_integral, categoria: total.",2008-2019,24.11,79.45,original,C3R1C3,Solo disponible 2008-2019 (PASO 0.4). Salario integral es >=10 SMLV por ley.
sueldos_permanentes_obreros_c3r2c1,Sueldos y salarios del personal permanente -  Producción - Obreros,C3R2C1,obreros,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: sueldos_permanentes, categoria: obreros.",2008-2024,0,20.49,original,C3R2C1,
sueldos_permanentes_profesional_tecnico_c3r2pt,Sueldos y salarios del personal permanente -  Producción - Profesional Tecnólogo,C3R2PT,profesional_tecnico,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: sueldos_permanentes, categoria: profesional_tecnico.",2008-2024,0,48.66,original,C3R2PT,
sueldos_permanentes_administrativos_c3r2c2,Sueldos y salarios del personal permanente -  Administrativos,C3R2C2,administrativos,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: sueldos_permanentes, categoria: administrativos.",2008-2024,0,14.83,original,C3R2C2,
sueldos_permanentes_total_c3r2c3,Total Sueldos y salarios del personal permanente,C3R2C3,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: sueldos_permanentes, categoria: total.",2008-2024,0,10.16,original,C3R2C3,
prestaciones_permanentes_obreros_c3r3c1,Prestaciones sociales del personal permanente - Producción  - Obreros,C3R3C1,obreros,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: prestaciones_permanentes, categoria: obreros.",2008-2024,0,20.48,original,C3R3C1,
prestaciones_permanentes_profesional_tecnico_c3r3pt,Prestaciones sociales del personal permanente - Producción  - Profesional Tecnól,C3R3PT,profesional_tecnico,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: prestaciones_permanentes, categoria: profesional_tecnico.",2008-2024,0,48.51,original,C3R3PT,
prestaciones_permanentes_administrativos_c3r3c2,Prestaciones sociales del personal permanente - Administrativos,C3R3C2,administrativos,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: prestaciones_permanentes, categoria: administrativos.",2008-2024,0,14.71,original,C3R3C2,
prestaciones_permanentes_total_c3r3c3,Total  Prestaciones sociales del personal permanente,C3R3C3,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: prestaciones_permanentes, categoria: total.",2008-2024,0,10.08,original,C3R3C3,
sueldos_prest_temporal_directo_obreros_c3r4c1,"Sueldos, salarios y prestaciones sociales del personal contratado directamente",C3R4C1,obreros,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: sueldos_prest_temporal_directo, categoria: obreros.",2008-2024,0,60.95,original,C3R4C1,
sueldos_prest_temporal_directo_profesional_tecnico_c3r4pt,"Sueldos, salarios y prestaciones sociales del personal contratado directamente",C3R4PT,profesional_tecnico,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: sueldos_prest_temporal_directo, categoria: profesional_tecnico.",2008-2024,0,81.45,original,C3R4PT,
sueldos_prest_temporal_directo_administrativos_c3r4c2,"Sueldos, salarios y prestaciones sociales del personal contratado directamente",C3R4C2,administrativos,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: sueldos_prest_temporal_directo, categoria: administrativos.",2008-2024,0,68.83,original,C3R4C2,
sueldos_prest_temporal_directo_total_c3r4c3,"Total  Sueldos, salarios y prestaciones sociales del personal contratado directa",C3R4C3,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: sueldos_prest_temporal_directo, categoria: total.",2008-2024,0,58.16,original,C3R4C3,
cotizaciones_obreros_c3r5c1,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado",C3R5C1,obreros,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: cotizaciones, categoria: obreros.",2008-2024,0,5.9,original,C3R5C1,
cotizaciones_profesional_tecnico_c3r5pt,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado",C3R5PT,profesional_tecnico,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: cotizaciones, categoria: profesional_tecnico.",2008-2024,0,43.14,original,C3R5PT,
cotizaciones_administrativos_c3r5c2,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado",C3R5C2,administrativos,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: cotizaciones, categoria: administrativos.",2008-2024,0,6.75,original,C3R5C2,
cotizaciones_total_c3r5c3,"Total  Cotizaciones patronales obligatorias, salud, ARP y pensión del personal o",C3R5C3,total,"miles de pesos (supuesto, ver PASO 0.5)",anual,permanentes,"Costo laboral, concepto: cotizaciones, categoria: total.",2008-2024,0,1.51,original,C3R5C3,
